actor,awards,country,director,genre,language,metascore,plot,poster,rated,released,response,runtime,title,type,writer,year,imdb_id,imdb_votes,rating_imdb,rating_rotten,rating_metacritic
"Deepak Chachra, Smita Malhotra, Tarun Ratnani",N/A,India,Tilak Shetty,Animation,"Hindi, English",N/A,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying.",https://m.media-amazon.com/images/M/MV5BYjlhYTJhODctZGY4Zi00NjQ0LTkyYzAtNDkwYmNlY2IwZTZlXkEyXkFqcGdeQXVyNTM3NDk5MTg@._V1_SX300.jpg,N/A,N/A,True,65 min,Krish Trish and Baltiboy: Face Your Fears,movie,Sreejoni Nag,2017,tt8672310,7,3.7/10,,
"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox",2 wins & 1 nomination.,"France, Belgium",Gaspar Noé,"Drama, Romance","English, French",51,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,TV-MA,30 Oct 2015,True,135 min,Love,movie,Gaspar Noé,2015,tt3774694,"46,453",6.1/10,39%,51/100
"Arnold C. Baker II, Jessie Barr, Tommy Burke, Louis Cancelmi",3 wins.,USA,Tom O'Brien,"Comedy, Drama, Romance",English,N/A,"Danny, a commercial editor and documentary filmmaker attempts to finish his film, a study on relationship while navigating the relationships in his own life. Will he continue to chase the ...",https://m.media-amazon.com/images/M/MV5BMjMzODk2MDc0MF5BMl5BanBnXkFtZTgwMTc3NjU4NjE@._V1_SX300.jpg,TV-14,01 Jan 2016,True,94 min,Manhattan Romance,movie,Tom O'Brien,2014,tt2608324,"1,198",5.6/10,58%,
"Rupert Grint, Ron Perlman, Robert Sheehan, Stephen Campbell Moore",N/A,"France, Belgium",Antoine Bardou-Jacquet,"Action, Comedy",English,39,"After failing to locate the legendary Stanley Kubrick, an unstable CIA agent must instead team up with a seedy rock band manager to develop the biggest con of all time-staging the moon landing.",https://m.media-amazon.com/images/M/MV5BMjQyNzU4MjMyNF5BMl5BanBnXkFtZTgwMDQ0NzQ0NzE@._V1_SX300.jpg,R,15 Jan 2016,True,96 min,Moonwalkers,movie,"Dean Craig (a film written by), Antoine Bardou-Jacquet (story by)",2015,tt2718440,"8,456",6.1/10,,39/100
"Ricardo Baca, Ry Prichard",1 win.,"USA, Uruguay",Mitch Dickman,"Documentary, Biography, News","Spanish, English",60,"At ground zero of the green rush, The Denver Post became the first major media outlet to appoint a marijuana editor. Policy news, strain reviews, parenting advice and edible recipes are the new norm in the unprecedented world of pot journalism.",https://m.media-amazon.com/images/M/MV5BMTQ4MjYwODUzN15BMl5BanBnXkFtZTgwMDIxNzMzNzE@._V1_SX300.jpg,TV-MA,19 Feb 2016,True,79 min,Rolling Papers,movie,N/A,2015,tt3621360,431,6.2/10,58%,60/100
"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson",1 win & 1 nomination.,USA,Brad Anderson,"Drama, Horror, Thriller",English,52,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.",https://m.media-amazon.com/images/M/MV5BNjg5NjU0MTM4N15BMl5BanBnXkFtZTgwMjU1NDQzMjE@._V1_SX300.jpg,PG-13,24 Oct 2014,True,112 min,Stonehearst Asylum,movie,"Edgar Allan Poe (based on a short story by), Joe Gangemi (screenplay by)",2014,tt1772264,"50,470",6.8/10,54%,52/100
"Nicolas Cage, Sarah Paulson, Peter Fonda, Connie Nielsen",N/A,USA,Austin Stark,Drama,English,39,"In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal.",https://m.media-amazon.com/images/M/MV5BMTkyMDkwNDIyMV5BMl5BanBnXkFtZTgwNDU1OTEwNjE@._V1_SX300.jpg,R,07 Aug 2015,True,90 min,The Runner,movie,Austin Stark,2015,tt3687398,"4,983",4.7/10,24%,39/100
"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard",4 nominations.,USA,Hannah Fidell,"Drama, Romance",English,53,"A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",https://m.media-amazon.com/images/M/MV5BMTYzMTMwMDMzMF5BMl5BanBnXkFtZTgwNDc4MjUzNjE@._V1_SX300.jpg,Not Rated,18 Aug 2015,True,79 min,6 Years,movie,Hannah Fidell,2015,tt3799372,"11,393",5.6/10,69%,53/100
"Patrick Swayze, Om Puri, Pauline Collins, Shabana Azmi",1 nomination.,"France, UK",Roland Joffé,Drama,English,N/A,"An American doctor, a British nurse and an illiterate Indian farmer join together to transform a Calcutta ghetto in this uplifting, inspirational movie starring Patrick Swayze and Pauline Collins.",https://m.media-amazon.com/images/M/MV5BNGUwMDA5ZmQtNzQ2Zi00ZTUzLWFhZDctYjc2ZGU5ODM4ZjU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,PG-13,17 Apr 1992,True,132 min,City of Joy,movie,"Dominique Lapierre (book), Mark Medoff (screenplay)",1992,tt0103976,"4,694",6.5/10,53%,
"Shantee G., Alex R., Velma S.",N/A,N/A,N/A,Documentary,N/A,N/A,Cameras enter Georgia's Gwinnett County Jail to document the first days of its newest inmates and the final days of those about to be released.,https://m.media-amazon.com/images/M/MV5BYTQ0MDA4YzctYmRjNy00MTIzLWI3MzItN2RjYmE3YWFhZWI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,07 Sep 2018,True,40 min,First and Last,series,N/A,2018–,tt8893502,326,6.8/10,,
"Saharat Sangkapreecha, Piyathida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai",6 wins & 8 nominations.,Thailand,Sophon Sakdaphisit,"Drama, Horror, Mystery",Thai,N/A,"When a family moves to Laddaland, an upscale housing development with large, beautiful homes, they discover life in their new neighborhood isn't so perfect when they encounter a series of ...",https://m.media-amazon.com/images/M/MV5BNDgxNjI5NDQtZGE5Ny00NWRlLTkyMjctZDQ0MWMyYmE1ZTE5XkEyXkFqcGdeQXVyMTA5NzUzODM4._V1_SX300.jpg,Not Rated,28 Apr 2011,True,125 min,Laddaland,movie,"Sopana Chaowwiwatkul (screenplay), Sophon Sakdaphisit (screenplay)",2011,tt2063782,"1,914",6.3/10,43%,
"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña",1 win & 5 nominations.,"China, Canada, USA","Kevin R. Adams, Joe Ksander, Ricardo Curtis","Animation, Action, Adventure, Comedy, Family, Sci-Fi","English, Mandarin",N/A,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.",https://m.media-amazon.com/images/M/MV5BMTU0MjAwMDkxNV5BMl5BanBnXkFtZTgwMTA4ODIxNjM@._V1_SX300.jpg,TV-PG,07 Sep 2018,True,106 min,Next Gen,movie,"Kevin R. Adams, Joe Ksander, Wang Nima (story by), Ryan W. Smith (additional screenplay material by)",2018,tt7133686,"13,504",6.6/10,80%,
"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo",2 nominations.,USA,Ian Samuels,"Comedy, Drama, Romance",English,60,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,https://m.media-amazon.com/images/M/MV5BMTU5Mjc4NTM2Ml5BMl5BanBnXkFtZTgwMjMzMzA5NTM@._V1_SX300.jpg,PG-13,07 Sep 2018,True,105 min,Sierra Burgess Is a Loser,movie,Lindsey Beer,2018,tt3120280,"33,552",5.8/10,61%,60/100
"Anna Mouglalis, Niels Schneider, Eric Godon, André Wilms",1 nomination.,"Belgium, UK, USA",Franck Ribière,"Biography, Drama, Mystery, Thriller",French,N/A,"Paula Maxa is the Parisian Grand Guignol Theatre's leading lady, famous for being murdered on stage every day. But is there a link between the theatre and a series of gruesome real-life murders?",https://m.media-amazon.com/images/M/MV5BMzBhOGY1N2QtMTVhYi00YzgzLTlmODctM2JmNmIxOWY2ZDM4XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,TV-MA,07 Sep 2018,True,102 min,The Most Assassinated Woman in the World,movie,"James Charkow (original idea), Vérane Frédiani, David Murdoch (original idea), David Murdoch, Franck Ribière",2018,tt6186696,891,5.3/10,,
"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François",N/A,"Belgium, France",Danièle Thompson,"Biography, Drama",French,54,"The parallel paths of the lives, careers and passionate friendship of post-impressionist painter Paul Cezanne and novelist Emile Zola. Both left their hometown to conquer the art scene in Paris.",https://m.media-amazon.com/images/M/MV5BYzVlYmE1ZTUtMDZkNC00YTQ2LTg1YjgtYmUzNzE0ZDFlMmE5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,R,31 Mar 2017,True,117 min,Cezanne et Moi,movie,Danièle Thompson (scenario),2016,tt5078354,"1,058",6.0/10,53%,54/100
"Rosamund Pike, Tony Hale, Kari Wahlgren, Adam Pally",1 nomination.,N/A,N/A,"Animation, Short, Adventure, Comedy",N/A,N/A,The adventures of a care-free Chicken named Archibald.,https://m.media-amazon.com/images/M/MV5BOTI0YzkxY2ItNmRkYS00YTliLTg2YTUtN2UxMzQ4YWJiNzNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,TV-Y7,06 Sep 2019,True,24 min,Archibald's Next Big Thing,series,"Drew Champion, Jacob Moffat",2019–,tt9165404,170,7.9/10,,
"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra",14 wins & 17 nominations.,India,Anubhav Sinha,"Crime, Drama, Mystery",Hindi,N/A,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",https://m.media-amazon.com/images/M/MV5BZTI2NTFiMDMtZjQxNS00YjBkLWFhNWMtOTIyMzE5Yjc0ZTZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Not Rated,28 Jun 2019,True,130 min,Article 15,movie,"Anubhav Sinha, Gaurav Solanki",2019,tt10324144,"21,330",8.2/10,89%,
"Vishwak Sen, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu",N/A,India,Tharun Bhascker Dhaassyam,"Comedy, Drama",Telugu,N/A,"The story is based on four childhood friends who go on a trip to Goa. Each have their own dream careers, and collaborate to make a short film.",https://m.media-amazon.com/images/M/MV5BNGE4MDIwMDAtNzViZC00NWJlLWEwNjYtZmUwZDE2ZTRlYTY3XkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_SX300.jpg,N/A,28 Jun 2018,True,122 min,Ee Nagaraniki Emaindi,movie,Tharun Bhascker Dhaassyam,2018,tt8490894,"1,647",7.9/10,,
"Sacha Baron Cohen, Hadar Ratzon Rotem, Yael Eitan, Noah Emmerich",N/A,France,N/A,"Drama, History","English, Arabic",N/A,"Based on the life of the Israeli spy, Eli Cohen.",https://m.media-amazon.com/images/M/MV5BM2ZmYjUxZDYtMmZlMi00YjlkLTkwNTItMjcxZDRlOTI3ZTNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-MA,06 Sep 2019,True,53 min,The Spy,series,N/A,2019,tt5952634,"26,683",7.9/10,,
"Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller",2 nominations.,USA,"Tom Gianas, Ross Shuman","Animation, Adventure, Comedy, Fantasy",English,N/A,Two best friends set out to rescue their pal after he's accidentally dragged to hell.,https://m.media-amazon.com/images/M/MV5BMjM4NzUxODgyNV5BMl5BanBnXkFtZTgwMDM5MzA3NjE@._V1_SX300.jpg,R,02 Oct 2015,True,86 min,Hell and Back,movie,"Tom Gianas, Zeb Wells, Hugh Sterbakov",2015,tt2141773,"4,647",5.4/10,0%,
"Aamir Khan, Rajinder Sharma Nanu, Anushka Sharma, Sushant Singh Rajput",17 wins & 15 nominations.,India,Rajkumar Hirani,"Comedy, Drama, Musical, Sci-Fi",Hindi,N/A,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,https://m.media-amazon.com/images/M/MV5BMTYzOTE2NjkxN15BMl5BanBnXkFtZTgwMDgzMTg0MzE@._V1_SX300.jpg,Not Rated,19 Dec 2014,True,153 min,PK,movie,"Rajkumar Hirani, Abhijat Joshi",2014,tt2338151,"158,458",8.1/10,77%,
"Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark",N/A,UK,"Robert Osman, Nathanael Wiseman","Drama, Thriller",English,N/A,An unlikely friendship is forged when a small-time drug dealer and a neglected nine-year-old girl are forced to go on the run together.,https://m.media-amazon.com/images/M/MV5BMmU3N2NjMjAtOTY5NC00ZWQ1LWI1ZTMtZjBlNzk2NGVmMTU0XkEyXkFqcGdeQXVyMTk3OTA5Mzk@._V1_SX300.jpg,Not Rated,29 Apr 2016,True,90 min,Hard Tide,movie,"Robert Osman, Nathanael Wiseman",2015,tt3116054,143,4.7/10,100%,
"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest",N/A,UK,Jon Spira,Documentary,English,66,Actors and extras reminisce about their time on the set of Star Wars: Episode IV - A New Hope (1977) and how making the film affected their lives.,https://m.media-amazon.com/images/M/MV5BMjQ0MDk4MDc1NV5BMl5BanBnXkFtZTgwNzk4OTQxNzE@._V1_SX300.jpg,Not Rated,06 May 2016,True,97 min,Elstree 1976,movie,Jon Spira,2015,tt4558042,"1,309",5.9/10,81%,66/100
"Steven Bognar, Barack Obama, Michelle Obama, Julia Reichert",N/A,USA,N/A,"Documentary, Short",English,N/A,Barack and Michelle Obama talk with the directors of the documentary American Factory about the importance of storytelling and the impact of their film.,https://m.media-amazon.com/images/M/MV5BMmNjZWQzOTAtNGVhMC00ZTQ2LTllNmMtYmEyY2ZiM2MyMDQzXkEyXkFqcGdeQXVyMTcyMDgxNQ@@._V1_SX300.jpg,N/A,21 Aug 2019,True,10 min,American Factory: A Conversation with the Obamas,movie,N/A,2019,tt10937318,198,5.3/10,,
"Brian Geraghty, Alice Eve, Josh Peck, Mike O'Brian",N/A,"USA, Canada",David Brooks,"Horror, Thriller",English,34,"On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.",https://m.media-amazon.com/images/M/MV5BMTQ4OTQxMzU5OV5BMl5BanBnXkFtZTcwNDMyNzM0Nw@@._V1_SX300.jpg,R,02 Mar 2012,True,90 min,ATM,movie,"Chris Sparling (screenplay), Chris Sparling (story), Ron Tippe (story)",2012,tt1603257,"22,519",4.7/10,12%,34/100
"Sirin Horwang, Theeradej Wongpuapan, Ungsumalynn Sirapatsakmetha, Panisara Arayaskul",1 win & 2 nominations.,Thailand,Adisorn Trisirikasem,"Comedy, Romance",Thai,N/A,An urban love story set in the center of Bangkok where thirty-year-old Mei Li struggling to find true love. When Mei Li accidentally meets a handsome BTS engineer whom she considers the ...,https://m.media-amazon.com/images/M/MV5BMWExZGMyYjctNzM2NC00MTM3LThlODktNzY5OWI4YzI4YmJlXkEyXkFqcGdeQXVyNDc5MzE4NjQ@._V1_SX300.jpg,N/A,15 Oct 2009,True,126 min,Bangkok Traffic (Love) Story,movie,"Benjamaporn Srabua (screenplay), Nawapol Thamrongrattanarit (screenplay), Adisorn Trisirikasem (screenplay)",2009,tt1621642,"1,631",7.2/10,,
"Sora Aoi, Puttachat Pongsuchat, Preechaya Pongthananikorn, Popetorn Soonthornyanakij",2 wins & 11 nominations.,Thailand,Mez Tharatorn,"Comedy, Romance",Thai,N/A,Yim goes to English school to keep his Japanese girlfriend in this Thai romantic comedy.,https://m.media-amazon.com/images/M/MV5BZjVlMWY0ZTUtODIxMC00MmRhLTlkMmMtZGU4MjhmZGY3NGJiXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,N/A,10 Dec 2014,True,117 min,I Fine..Thank You Love You,movie,"Chaiyapruek Chalermpornpanich, Benjamaporn Srabua, Mez Tharatorn",2014,tt4222718,"1,751",7.0/10,,
"Anne Hathaway, Jim Sturgess, Tom Mison, Jodie Whittaker",1 win & 2 nominations.,"USA, UK",Lone Scherfig,"Drama, Romance",English,48,"After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",https://m.media-amazon.com/images/M/MV5BMTQ3NTg2MDI3NF5BMl5BanBnXkFtZTcwMjc5MTA1NA@@._V1_SX300.jpg,PG-13,19 Aug 2011,True,107 min,One Day,movie,"David Nicholls (screenplay), David Nicholls (book)",2011,tt1563738,"136,100",7.0/10,36%,48/100
"Jirayu La-ongmanee, Ray MacDonald, Chumphorn Thepphithak, Apasiri Nitibhon",5 nominations.,Thailand,"Banjong Pisanthanakun, Visute Poolvoralaks, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom","Comedy, Fantasy, Horror, Mystery, Thriller",Thai,N/A,Phobia 2 is composed of five short movie segments directed by five of the best directors of Thai horror films. A teenager who committed a crime goes to a sacred place for meditation and ...,https://m.media-amazon.com/images/M/MV5BMjNjMjZkMmQtY2ZmYi00ZjNmLWIxYWUtMWI0NTAzNWEyNzE1XkEyXkFqcGdeQXVyNjAzNDg0MzY@._V1_SX300.jpg,N/A,24 Sep 2009,True,125 min,Phobia 2,movie,"Vanridee Pongsittisak (screenplay supervision), Nitis Napichayasutin (screenplay), Paween Purikitpanya (screenplay), Sophon Sakdaphisit (screenplay), Parkpoom Wongpoom (screenplay), Songyos Sugmakanan (screenplay), Sopana Chaowwiwatkul (screenplay), Sophon Sakdaphisit (screenplay), Parkpoom Wongpoom (screenplay), Banjong Pisanthanakun (screenplay), Mez Tharatorn (screenplay), Chantavit Dhanasevi (screenplay)",2009,tt1521846,"2,275",6.7/10,58%,
"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool",1 win & 1 nomination.,Thailand,"Banjong Pisanthanakun, Parkpoom Wongpoom","Horror, Mystery, Thriller",Thai,N/A,A young photographer and his girlfriend discover mysterious shadows in their photographs after a tragic accident. They soon learn that you can not escape your past.,https://m.media-amazon.com/images/M/MV5BNGY1MDdhZmItNTlhOS00N2ZlLTgxY2MtMDJkZTAzYTc0NDllXkEyXkFqcGdeQXVyNTk5MjI2NzQ@._V1_SX300.jpg,Not Rated,09 Sep 2004,True,97 min,Shutter,movie,"Parkpoom Wongpoom (screenplay), Banjong Pisanthanakun (screenplay), Sophon Sakdaphisit (screenplay)",2004,tt0440803,"40,491",7.1/10,65%,
"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",3 nominations.,Thailand,Chayanop Boonprakob,"Comedy, Music, Romance",Thai,N/A,Ped (Jirayu La-ongmanee) was a shy boy who had never listened to music until introduced to the world of Pop and Rock by would-be childhood crush Ern (Nattasha Nualjam). Ern soon left for ...,https://m.media-amazon.com/images/M/MV5BYTEwZTdjNmYtOWI4Ni00YThhLTk3ZGEtYjJhYTEyOWY4MTY2XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,N/A,17 Mar 2011,True,130 min,SuckSeed,movie,"Chayanop Boonprakob, Thodsapon Thiptinnakorn, Nottapon Boonprakob, Siwawut Sewatanon, Panayu Kunvanlee",2011,tt1869682,"1,947",7.5/10,81%,
"Bel Powley, Nathan Lane, Gabriel Byrne, Vanessa Bayer",1 win & 2 nominations.,USA,Susan Johnson,"Comedy, Drama",English,52,"A person of high intelligence struggles to make sense of the world as it relates to morality, relationships, sex and leaving her apartment.",https://m.media-amazon.com/images/M/MV5BMjMxMTQ2ODgwMF5BMl5BanBnXkFtZTgwNjQyODY2MTI@._V1_SX300.jpg,Not Rated,04 Apr 2017,True,98 min,Carrie Pilby,movie,"Kara Holden (screenplay by), Caren Lissner (based on the novel by)",2016,tt2989524,"7,616",6.6/10,62%,52/100
Marc Maron,N/A,USA,Lynn Shelton,Comedy,English,N/A,"Comedian Marc Maron riffs on topics including Donald Trump, a Rolling Stones concert, and the hat-buying experience.",https://m.media-amazon.com/images/M/MV5BNjFiMzU5OTMtMmYyMC00OWMxLTk0NTktNzA0MTY0YjkwNTFjXkEyXkFqcGdeQXVyNjc0NzYyMzI@._V1_SX300.jpg,N/A,05 Sep 2017,True,70 min,Marc Maron: Too Real,movie,Marc Maron,2017,tt7335938,"1,623",7.2/10,80%,
"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue",2 nominations.,USA,N/A,"Comedy, Drama, Romance",English,N/A,"Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming.",https://m.media-amazon.com/images/M/MV5BMTc2ODUwNjgyMF5BMl5BanBnXkFtZTgwNTE0NDg4OTE@._V1_SX300.jpg,TV-PG,04 Oct 2016,True,43 min,No Tomorrow,series,"Corinne Brinkerhoff, Scott McCabe, Tory Stanton",2016–2017,tt5595688,"4,661",7.2/10,,
"Saleem Mairaj, Syed Karam Hussain, Arif Bahalim, Najeeba Faiz",3 wins & 1 nomination.,Pakistan,Farhan Alam,"Drama, Thriller",Urdu,N/A,"A handicapped 9-year old boy who lives in a valley in the mountains of Balochistan is rejected by his father, intimidated by society, harassed by friends and left alone due to his ...",https://m.media-amazon.com/images/M/MV5BN2FhODQ1ODUtMzk0Zi00NDRkLWFmMmQtOGQzZDM0YmUwYjBmXkEyXkFqcGdeQXVyMTcwNDk2NjE@._V1_SX300.jpg,N/A,01 Jul 2016,True,137 min,Saawan,movie,Mashood Qadri,2016,tt5580778,111,6.9/10,,
